Id,Sexo,Edad,Nivel_educativo,SOC_1,SOC_2,SOC_3,SOC_4,SOC_5,SOC_6,SOC_7,SOC_8,SOC_9,SOC_10,SOC_11,SOC_12,SOC_13,SOC_1_INV,SOC_2_INV,SOC_3_INV,SOC_7_INV,SOC_10_INV,TOTAL_SOC,Comprensibility,Manejability,Meaningfulness
300,Women,46,Primary school,2,3,4,6,6,7,2,7,6,3,3,6,5,6,5,4,6,5,72,28,20,24
301,Women,35,Secondary school,5,7,7,7,6,5,2,6,6,2,6,6,4,3,1,1,6,6,63,24,17,22
302,Women,30,Secondary school,4,5,6,6,3,5,2,3,3,3,5,6,5,4,3,2,6,5,56,19,15,22
303,Women,30,Secondary school,2,3,4,6,5,5,2,6,3,3,6,6,6,6,5,4,6,5,69,25,20,24
304,Men,33,Secondary school,2,2,1,5,7,6,1,7,6,2,6,6,6,6,6,7,7,6,81,31,26,24
305,Men,46,Primary school,4,6,3,5,3,6,2,6,4,5,6,6,6,4,2,5,6,3,62,24,17,21
306,Women,56,Primary school,1,4,4,4,5,4,3,4,6,3,6,7,7,7,4,4,5,5,68,24,21,23
307,Men,32,Secondary school,6,6,6,6,5,6,2,3,6,2,2,6,2,2,2,2,6,6,54,19,15,20
308,Women,33,University,6,6,5,5,6,6,3,6,6,3,2,6,6,2,2,3,5,5,60,22,20,18
309,Men,31,Secondary school,2,5,4,4,5,4,2,4,6,3,6,6,7,6,3,4,6,5,66,23,21,22
310,Men,52,University,2,6,7,5,5,4,2,2,2,2,5,6,6,6,2,1,6,6,56,15,18,23
311,Men,48,Secondary school,2,6,6,5,4,4,2,3,2,2,5,6,5,6,2,2,6,6,56,16,17,23
312,Women,35,Secondary school,5,6,6,5,6,5,2,6,6,2,6,7,5,3,2,2,6,6,65,25,19,21
313,Women,40,Secondary school,5,4,4,1,7,2,1,2,2,5,2,2,4,3,4,4,7,3,43,12,18,13
314,Women,58,Secondary school,4,6,2,5,2,6,2,6,4,5,6,6,6,4,2,6,6,3,62,24,17,21
315,Women,35,Primary school,5,4,4,2,6,2,2,2,2,5,2,3,4,3,4,4,6,3,43,12,17,14
500,Men,50,Primary school,1,1,7,7,1,3,2,7,7,7,7,7,7,7,7,1,6,1,68,31,10,27
501,Men,37,Primary school,4,7,6,6,4,3,2,5,5,3,5,2,7,4,1,2,6,5,55,19,18,18
502,Men,47,Primary school,7,7,4,4,4,7,1,4,4,4,5,7,7,1,1,4,7,4,59,21,19,19
503,Men,40,University,1,4,4,6,7,6,2,6,5,2,6,7,6,7,4,4,6,6,76,27,23,26
504,Women,37,Primary school,1,5,5,7,1,7,4,3,7,1,6,1,6,7,3,3,4,7,62,26,17,19
505,Women,38,University,5,1,5,6,7,5,7,6,6,6,4,2,4,3,7,3,1,2,56,28,16,12
506,Women,38,Primary school,1,6,6,6,3,6,3,4,3,3,4,5,3,7,2,2,5,5,55,19,13,23
507,Women,35,Primary school,1,2,4,6,3,1,5,1,4,1,5,7,7,7,6,4,3,7,61,17,21,23
508,Men,52,University,2,3,1,7,7,7,1,6,7,1,7,7,7,6,5,7,7,7,87,32,28,27
509,Women,49,Primary school,3,4,7,5,1,3,1,1,1,3,1,4,1,5,4,1,7,5,39,10,8,21
510,Women,33,Primary school,2,7,7,7,3,6,2,6,5,3,5,2,7,6,1,1,6,5,60,23,16,21
511,Women,38,University,3,5,5,6,6,3,2,3,6,5,3,6,6,5,3,3,6,3,59,18,18,23
512,Women,42,University,1,5,4,7,5,7,3,6,5,6,6,5,5,7,3,4,5,2,67,27,16,24
513,Men,37,University,1,3,3,6,7,7,1,6,6,2,6,2,6,7,5,5,7,6,76,30,24,22
514,Women,33,University,1,4,3,5,6,5,2,5,6,2,5,5,5,7,4,5,6,6,70,25,22,23
515,Women,40,University,3,3,3,5,3,3,4,4,4,4,3,2,2,5,5,5,4,4,49,19,14,16
516,Men,33,Secondary school,7,3,5,4,3,3,2,6,3,7,3,6,5,1,5,3,6,1,49,20,12,17
517,Women,37,Secondary school,7,3,5,3,6,1,3,1,4,7,3,6,6,1,5,3,5,1,45,14,16,15
518,Men,28,Primary school,4,4,6,5,2,4,2,3,4,5,4,4,5,4,4,2,6,3,50,19,12,19
519,Women,23,Secondary school,3,5,4,6,5,3,2,7,6,3,5,4,3,5,3,4,6,5,62,24,17,21
520,Men,29,University,2,2,2,6,5,7,2,7,7,2,6,6,6,6,6,6,6,6,80,33,23,24
521,Women,25,Secondary school,5,7,6,6,7,5,5,3,6,6,5,6,4,3,1,2,3,2,53,20,15,18
522,Men,26,Secondary school,2,7,5,6,6,7,2,2,6,2,2,6,3,6,1,3,6,6,60,18,18,24
523,Men,22,University,2,5,3,7,7,7,3,6,7,2,7,7,5,6,3,5,5,6,78,30,23,25
524,Women,51,Secondary school,1,4,4,7,1,6,1,6,7,1,7,6,7,7,4,4,7,7,76,30,19,27
525,Women,27,University,3,4,4,7,5,6,3,7,7,1,6,7,6,5,4,4,5,7,76,30,22,24
526,Men,53,Secondary school,1,4,1,5,7,7,1,7,7,1,7,7,7,7,4,7,7,7,86,32,28,26
527,Women,27,University,2,2,2,6,2,5,4,7,7,2,5,7,7,6,6,6,4,6,74,30,21,23
528,Women,30,University,1,5,3,7,7,6,2,6,7,2,5,7,7,7,3,5,6,6,79,27,25,27
529,Women,25,University,3,3,4,5,5,5,4,5,6,2,4,4,6,5,5,4,4,6,64,25,21,18
530,Men,25,University,3,4,5,6,4,3,3,5,6,3,5,5,3,5,4,3,5,5,59,23,15,21
534,Men,26,Secondary school,1,2,2,6,6,7,3,4,6,1,6,7,7,7,6,6,5,7,80,29,26,25
536,Women,21,Secondary school,1,6,2,4,6,4,1,3,7,6,4,7,7,7,2,6,7,2,66,20,21,25
537,Women,24,Secondary school,1,3,5,7,6,7,2,6,7,2,1,7,5,7,5,3,6,6,73,26,20,27
538,Women,26,Secondary school,1,3,5,6,5,6,3,5,6,3,4,5,7,7,5,3,5,5,69,26,20,23
563,Women,26,University,2,6,6,6,7,6,2,5,6,4,5,6,6,6,2,2,6,4,67,24,19,24
564,Women,29,University,1,5,5,7,3,6,2,6,6,3,6,7,7,7,3,3,6,5,72,27,18,27
565,Women,24,Secondary school,2,2,2,7,5,5,2,4,6,5,4,6,6,6,6,6,6,3,70,25,20,25
566,Men,26,Secondary school,2,2,2,7,5,5,2,4,6,5,4,6,6,6,6,6,6,3,70,25,20,25
567,Men,25,Secondary school,1,5,5,5,3,7,2,4,6,5,4,6,6,7,3,3,6,3,63,24,15,24
568,Men,28,Secondary school,1,2,7,3,5,4,4,2,3,6,3,2,3,7,6,1,4,2,45,18,11,16
561,Women,37,Primary school,2,7,6,3,2,2,6,3,3,5,2,3,3,6,1,2,2,3,35,11,10,14
562,Men,36,Secondary school,5,6,6,4,2,7,5,6,3,6,6,2,3,3,2,2,3,2,45,24,9,12
535,Men,23,Secondary school,4,6,3,7,5,5,6,5,3,4,3,6,6,4,2,5,2,4,57,18,20,19
39,Men,25,University,2,6,4,6,3,4,3,2,4,4,4,5,6,6,2,4,5,4,55,16,17,22
38,Women,25,Secondary school,1,3,2,6,1,2,4,7,4,2,4,6,4,7,5,6,4,6,62,22,17,23
37,Women,27,University,7,7,5,4,7,6,3,2,6,1,4,6,7,1,1,3,5,7,59,19,24,16
36,Women,24,Secondary school,6,7,6,7,6,2,4,2,3,4,3,2,6,2,1,2,4,4,44,11,18,15
35,Men,39,Secondary school,1,2,3,6,6,6,2,6,6,2,6,6,7,7,6,5,6,6,79,30,24,25
